smiles,group,IC50_nM,pIC50
C[C@@H]1CCN(CCOc2ccc(cc2)[C@@H]3Oc4ccc(O)cc4[C@@H](C)[C@@H]3c5ccc(O)cc5)C1,training,2.4,8.620 
C[C@@H]1CCN(CCOc2ccc(cc2)[C@@H]3Oc4ccc(O)c(F)c4[C@@H](C)[C@@H]3c5ccc(O)cc5)C1,training,0.8,9.097 
C[C@@H](COc1ccc(cc1)[C@@H]2Oc3ccc(O)cc3[C@@H](C)[C@@H]2c4ccc(O)cc4)N5CCCC5,training,1.4,8.854 
Cc1cc(C)nc(n1)N2CCN(CC2)c3ccc(cc3)C(=O)c4c(sc5cc(O)ccc45)c6ccc(O)cc6,training,2.12,8.674 
CCCN1CCN(CC1)c2ccc(cc2)C(=O)c3c(sc4cc(O)ccc34)c5ccc(O)cc5,training,1.43,8.845 
C[C@@H](COc1ccc(cc1)[C@@H]2Oc3ccc(O)c(F)c3[C@@H](C)[C@@H]2c4ccc(O)cc4)N5CCCC5,training,0.5,9.301 
C[C@@H]1[C@@H]([C@@H](Oc2cc(O)ccc12)c3ccc(OCCN4CCCCC4)cc3)c5ccc(O)cc5,training,45,7.347 
C[C@@H]1[C@@H]([C@@H](Oc2ccc(O)cc12)c3ccc(OCCN4CCCCC4)cc3)c5ccc(O)cc5,training,38,7.420 
C[C@H]1[C@@H]([C@@H](Oc2cc(O)ccc12)c3ccc(OCCN4CCCCC4)cc3)c5ccc(O)cc5,training,0.66,9.180 
CC[C@H]1[C@@H]([C@@H](Oc2ccc(O)cc12)c3ccc(OCCN4CCCCC4)cc3)c5ccc(O)cc5,training,14,7.854 
C[C@H]1[C@@H]([C@@H](Oc2ccc(O)cc12)c3ccc(OCCN4CCCCC4)cc3)c5ccc(O)cc5,training,1.4,8.854 
Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(cc4)N5CCN(Cc6ccccc6)CC5,training,0.97,9.013 
Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(cc4)N5CCN(CC5)C(=O)c6ccccc6,training,0.86,9.066 
Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(cc4)N5CCN(CC5)C(=O)c6occc6,training,2.65,8.577 
Cc1ccc(cc1)C(=O)N2CCN(CC2)c3ccc(cc3)C(=O)c4c(sc5cc(O)ccc45)c6ccc(O)cc6,training,2.74,8.562 
Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(cc4)N5CCN(CC5)C(=O)c6cccc(Cl)c6,training,0.46,9.337 
Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(cc4)N5CCN(CC5)C(=O)c6ccc(Cl)cc6,training,0.78,9.108 
C[C@H]1[C@@H]([C@@H](Oc2ccc(O)c(F)c12)c3ccc(OCCN4CCCCC4)cc3)c5ccc(O)cc5,training,0.8,9.097 
Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(cc4)N5CCN(CC5)C(=O)c6cccc(O)c6,training,1.39,8.857 
Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(cc4)N5CCN(CC5)C(=O)c6ccccc6O,training,3.05,8.516 
Cc1ccccc1C(=O)N2CCN(CC2)c3ccc(cc3)C(=O)c4c(sc5cc(O)ccc45)c6ccc(O)cc6,training,3.94,8.405 
Cc1cccc(c1)C(=O)N2CCN(CC2)c3ccc(cc3)C(=O)c4c(sc5cc(O)ccc45)c6ccc(O)cc6,training,0.27,9.569 
C[C@H]1[C@@H]([C@@H](Oc2ccc(O)cc12)c3ccc(OCCN4CCCC4)cc3)c5ccc(O)cc5,training,1.5,8.824 
C[C@H]1[C@@H]([C@@H](Oc2ccc(O)c(F)c12)c3ccc(OCCN4CCCC4)cc3)c5ccc(O)cc5,training,0.9,9.046 
C[C@H]1CCN(CCOc2ccc(cc2)[C@@H]3Oc4ccc(O)cc4[C@@H](C)[C@@H]3c5ccc(O)cc5)C1,training,1.3,8.886 
Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(cc4)N5CCN(CC5)C(=O)c6ccccc6Cl,training,1.72,8.764 
Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(cc4)N5CCN(CC5)C(=O)c6ccncc6,training,14.46,7.840 
Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(cc4)N5CCN(CC5)C(=O)c6ccc(cc6)[N+](=O)[O-],training,2.15,8.668 
Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(cc4)N5CCN(CC5)c6ccc(Cl)cc6,training,0.22,9.658 
Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(cc4)N5CCN(CC5)C(=O)c6ccccc6[N+](=O)[O-],training,3.58,8.446 
Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(cc4)N5CCN(CC5)c6ccc(cc6)[N+](=O)[O-],training,0.43,9.367 
CC(C)N1CCN(CC1)c2ccc(cc2)C(=O)c3c(sc4cc(O)ccc34)c5ccc(O)cc5,training,0.28,9.553 
Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(cc4)N5CCN(CC5)C6CCCC6,training,1.08,8.967 
C[C@@H](COc1ccc(cc1)[C@@H]2Oc3ccc(O)cc3[C@@H](C)[C@@H]2c4ccc(O)cc4)N5CC[C@@H](C)C5,training,1.3,8.886 
C[C@@H](COc1ccc(cc1)[C@@H]2Oc3ccc(O)c(F)c3[C@@H](C)[C@@H]2c4ccc(O)cc4)N5CC[C@@H](C)C5,training,0.9,9.046 
C[C@@H](COc1ccc(cc1)[C@@H]2Oc3ccc(O)c(F)c3[C@@H](C)[C@@H]2c4ccc(O)cc4)N5CC[C@H](C)C5,training,2.5,8.602 
C[C@H](CN1CCCC1)Oc2ccc(cc2)[C@@H]3Oc4ccc(O)cc4[C@@H](C)[C@@H]3c5ccc(O)cc5,training,1.5,8.824 
C[C@H]1[C@@H]([C@@H](Oc2ccc(O)c(F)c12)c3ccc(OCCN4CCCCCC4)cc3)c5ccc(O)cc5,training,0.3,9.523 
C[C@@H](COc1ccc(cc1)[C@@H]2Oc3ccc(O)c(F)c3[C@@H](C)[C@@H]2c4ccc(O)cc4)N5CCC[C@H]5C,training,0.7,9.155 
COc1ccc2[C@H]([C@H](OCc2c1)c3ccccc3)c4ccc(OCCN5CCCC5)cc4,training,39,7.409 
COc1ccc2[C@H]([C@H](SCc2c1)c3ccccc3)c4ccc(OCCN5CCCC5)cc4,training,13,7.886 
Oc1ccc2[C@H]([C@H](OCc2c1)c3ccccc3)c4ccc(OCCN5CCCC5)cc4,training,2.4,8.620 
Oc1ccc2[C@H]([C@H](SCc2c1)c3ccccc3)c4ccc(OCCN5CCCC5)cc4,training,0.6,9.222 
C[C@H]1CN(CCOc2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5)C[C@@H]1C,training,0.5,9.301 
C[C@@H]1CN(CCOc2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5)C[C@H]1C,training,0.4,9.398 
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCCN5CCCC5)cc4,training,1.7,8.770 
C[C@H](COc1ccc(cc1)[C@@H]2Oc3ccc(O)cc3S[C@@H]2c4ccc(O)cc4)N5CCCC5,training,1.3,8.886 
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CC6CC6C5)cc4,training,0.7,9.155 
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CCCC5)cc4,training,2.6,8.585 
C[C@@H]1CCN(CCOc2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5)C1,training,3,8.523 
C[C@H]1CCN(CCOc2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5)C1,training,1,9.000 
C[C@@H]1CCCN1CCOc2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5,training,0.7,9.155 
C[C@H]1CCCN1CCOc2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5,training,0.8,9.097 
CC[C@@H]1CCN(CCOc2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5)C1,training,0.9,9.046 
CC[C@H]1CCN(CCOc2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5)C1,training,1.1,8.959 
CC(C)[C@@H]1CCN(CCOc2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5)C1,training,0.4,9.398 
CC(C)[C@H]1CCN(CCOc2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5)C1,training,0.3,9.523 
CC1(C)CCN(CCOc2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5)C1,training,1,9.000 
CC1(C)CCCN1CCOc2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5,training,0.9,9.046 
C[C@@H]1CN(CCOc2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5)C[C@@H]1C,training,0.7,9.155 
CN(C)c1cccc(c1)N2CCc3cc(O)ccc3C2c4ccc(OCCN5CCCCC5)cc4,training,70.96,7.149 
CC[C@@H](COc1ccc(cc1)[C@@H]2Oc3ccc(O)cc3S[C@@H]2c4ccc(O)cc4)N5CCCC5,training,0.5,9.301 
CC[C@H](COc1ccc(cc1)[C@@H]2Oc3ccc(O)cc3S[C@@H]2c4ccc(O)cc4)N5CCCC5,training,0.7,9.155 
CC(C)[C@@H](COc1ccc(cc1)[C@@H]2Oc3ccc(O)cc3S[C@@H]2c4ccc(O)cc4)N5CCCC5,training,0.7,9.155 
CC(C)[C@H](COc1ccc(cc1)[C@@H]2Oc3ccc(O)cc3S[C@@H]2c4ccc(O)cc4)N5CCCC5,training,0.5,9.301 
CC(C)(COc1ccc(cc1)[C@@H]2Oc3ccc(O)cc3S[C@@H]2c4ccc(O)cc4)N5CCCC5,training,0.7,9.155 
C[C@@H](CN1CCCC1)Oc2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5,training,2.5,8.602 
C[C@H](CN1CCCC1)Oc2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5,training,6.3,8.201 
CC[C@@H](CN1CCCC1)Oc2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5,training,0.8,9.097 
CC[C@H](CN1CCCC1)Oc2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5,training,1.2,8.921 
Oc1ccc(cc1)c2oc3ccc(O)cc3c2,training,176,6.754 
Oc1ccc(cc1)c2oc3c(Br)cc(O)cc3c2,training,1.5,8.824 
Oc1cc(Br)c2oc(cc2c1)c3ccc(O)c(F)c3,training,12,7.921 
COc1cc(O)cc2cc(oc12)c3ccc(O)cc3,training,483,6.316 
COc1cc(O)cc2cc(oc12)c3ccc(O)c(F)c3,training,990,6.004 
COc1cc(O)c(Br)c2cc(oc12)c3ccc(O)cc3,training,21,7.678 
COc1cc(O)c(Br)c2cc(oc12)c3ccc(O)c(F)c3,training,335,6.475 
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5C6CCCC5CC6)cc4,training,0.6,9.222 
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5C6CCCC5CCC6)cc4,training,0.6,9.222 
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5C6CCC5CC6)cc4,training,0.9,9.046 
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CC6CC5CO6)cc4,training,0.7,9.155 
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CC6CCC5CC6)cc4,training,1.3,8.886 
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CC6CC7CC(C6)CC5C7)cc4,training,0.6,9.222 
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CC[C@H]6C[C@@H]56)cc4,training,0.6,9.222 
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CC[C@@H]6C[C@H]56)cc4,training,0.5,9.301 
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CC6CCC6C5)cc4,training,0.8,9.097 
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5C[C@H]6CCC[C@H]6C5)cc4,training,0.3,9.523 
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5C[C@H]6CCCC[C@H]6C5)cc4,training,1,9.000 
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CCC6(CCCC6)CC5)cc4,training,1.2,8.921 
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CC6(CCC6)C5)cc4,training,0.4,9.398 
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CCC(F)(F)CC5)cc4,training,16,7.796 
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CCC6(CC5)OCCO6)cc4,training,2,8.699 
OC1CCN(CCOc2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5)CC1,training,1.8,8.745 
OCC1CCN(CCOc2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5)CC1,training,2.2,8.658 
OCCC1CCN(CCOc2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5)CC1,training,7.3,8.137 
NC(=O)C1CCN(CCOc2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5)CC1,training,2.2,8.658 
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CC[C@@H](F)C5)cc4,training,0.5,9.301 
O[C@@H]1CCN(CCOc2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5)C1,training,1.7,8.770 
OC[C@H]1CCCN1CCOc2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5,training,2,8.699 
OC[C@@H]1CCCN1CCOc2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5ccc(O)cc5,training,3.9,8.409 
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CCSCC5)cc4,training,1.5,8.824 
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CCS(=O)(=O)CC5)cc4,training,2,8.699 
Oc1ccc(cc1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CCC(F)CC5)cc4,training,2.5,8.602 
Oc1ccc(cc1F)c2oc3c(C=C)c(Br)c(O)c(Br)c3n2,training,803,6.095 
COc1cc(O)c(Br)c2nc(oc12)c3ccc(O)c(F)c3,training,2668,5.574 
COc1c(Br)c(O)c(Br)c2nc(oc12)c3ccc(O)c(F)c3,training,559,6.253 
COc1cc(O)c(Cl)c2cc(oc12)c3ccc(O)cc3,training,114,6.943 
COc1cc(O)c(C#N)c2cc(oc12)c3ccc(O)cc3,training,1650,5.783 
Oc1ccc(cc1)c2oc3c(Cl)cc(O)cc3c2,training,6.8,8.167 
Cc1cc(O)cc2cc(oc12)c3ccc(O)cc3,training,114,6.943 
Cc1cc(O)cc2cc(oc12)c3ccc(O)c(F)c3,training,109,6.963 
Oc1ccc(cc1)c2oc3c(CC#N)cc(O)cc3c2,training,1152,5.939 
Oc1cc(CC#N)c2oc(cc2c1)c3ccc(O)c(F)c3,training,1056,5.976 
Oc1ccc(cc1)c2oc3c(CC#N)cc(O)c(Br)c3c2,training,209,6.680 
Oc1ccc(cc1)c2oc3c(CC#N)cc(O)c(Cl)c3c2,training,625,6.204 
CC(=O)c1cc(O)cc2cc(oc12)c3ccc(O)cc3,training,103,6.987 
CCC(=O)c1cc(O)cc2cc(oc12)c3ccc(O)cc3,training,49,7.310 
Oc1ccc(cc1)c2oc3c(C=O)cc(O)cc3c2,training,263,6.580 
Oc1ccc(cc1)c2oc3c(cc(O)cc3c2)C#N,training,46,7.337 
Oc1cc(C#N)c2oc(cc2c1)c3ccc(O)c(F)c3,training,23,7.638 
Oc1ccc2nc(oc2c1)c3ccc4cc(O)ccc4c3,training,780,6.108 
Oc1ccc(c(O)c1)c2oc3cc(O)ccc3n2,training,82,7.086 
Oc1ccc(cc1)c2oc3cc(O)ccc3n2,training,902,6.045 
Oc1ccc2nc(oc2c1)c3cccc(O)c3O,training,2353,5.628 
Oc1ccc2nc(oc2c1)c3ccc(O)c(O)c3,training,2410,5.618 
Oc1ccc2nc(oc2c1)c3ccc(O)c(F)c3,training,8430,5.074 
Oc1ccc2nc(oc2c1)c3ccc(O)c(Cl)c3,training,5000,5.301 
Oc1ccc(cc1)c2oc3cc(O)c(Cl)cc3n2,training,2765,5.558 
CC(C)(C)c1cc(ccc1O)c2oc3cc(O)ccc3n2,training,5000,5.301 
CCCCOc1cc(ccc1O)c2oc3cc(O)ccc3n2,training,6240,5.205 
Oc1ccc(cc1)c2oc3ccc(O)cc3n2,training,1227,5.911 
Oc1ccc2oc(nc2c1)c3ccc(O)c(F)c3,training,1570,5.804 
Oc1ccc2oc(nc2c1)c3ccc(O)c(Cl)c3,training,5280,5.277 
Oc1ccc(c(Cl)c1)c2oc3ccc(O)cc3n2,training,139,6.857 
Oc1ccc(c(O)c1)c2oc3ccc(O)cc3n2,training,190,6.721 
Oc1ccc(cc1)c2oc3cc(Cl)c(O)cc3n2,training,464,6.333 
Oc1ccc(cc1F)c2oc3cc(Cl)c(O)cc3n2,training,1813,5.742 
Oc1ccc(cc1F)c2oc3cc(Br)c(O)cc3n2,training,1210,5.917 
Oc1ccc2oc(nc2c1)c3cccc(O)c3O,training,5110,5.292 
COc1cc(O)cc2nc(oc12)c3ccc(O)cc3,training,2557,5.592 
Oc1ccc(cc1)c2oc3c(Br)cc(O)cc3n2,training,155,6.810 
Oc1cc(Br)c2oc(nc2c1)c3ccc(O)c(F)c3,training,260,6.585 
Oc1cc(Br)c2oc(nc2c1)c3ccc(O)c(c3)C(F)(F)F,training,1870,5.728 
Oc1ccc(c(F)c1)c2oc3c(Br)cc(O)cc3n2,training,47,7.328 
Cc1cc(O)ccc1c2oc3c(Br)cc(O)cc3n2,training,44,7.357 
Oc1ccc(cc1)c2oc3c(cc(O)cc3n2)C#N,training,411,6.386 
Oc1cc(C#N)c2oc(nc2c1)c3ccc(O)c(F)c3,training,1435,5.843 
Oc1ccc(c(F)c1)c2oc3c(cc(O)cc3n2)C#N,training,138,6.860 
Oc1ccc(cc1)c2oc3c(CBr)cc(O)cc3n2,training,2975,5.527 
Oc1ccc(cc1)c2oc3c(C=O)cc(O)cc3n2,training,2638,5.579 
CCOC(=O)c1cc(O)cc2nc(oc12)c3ccc(O)cc3,training,7827,5.106 
NC(=O)c1cc(O)cc2nc(oc12)c3ccc(O)cc3,training,9620,5.017 
CCc1cc(O)cc2nc(oc12)c3ccc(O)cc3,training,537,6.270 
CCCc1cc(O)cc2nc(oc12)c3ccc(O)cc3,training,390,6.409 
CC(C)c1cc(O)cc2nc(oc12)c3ccc(O)cc3,training,1200,5.921 
CCCCc1cc(O)cc2nc(oc12)c3ccc(O)cc3,training,498,6.303 
Oc1ccc(cc1)c2oc3c(cc(O)cc3n2)C#C,training,481,6.318 
Oc1ccc(cc1)c2oc3c(CC=C)cc(O)cc3n2,training,727,6.138 
Oc1cc(CC=C)c2oc(nc2c1)c3ccc(O)c(F)c3,training,1100,5.959 
Oc1ccc(c(F)c1)c2oc3c(CC=C)cc(O)cc3n2,training,98,7.009 
Oc1ccc(cc1)c2oc3c(C=C)cc(O)cc3n2,training,447,6.350 
Oc1cc(C=C)c2oc(nc2c1)c3ccc(O)c(F)c3,training,1216,5.915 
Oc1cc(\C=C/F)c2oc(nc2c1)c3ccc(O)c(F)c3,training,376,6.425 
C\C=C/c1cc(O)cc2nc(oc12)c3ccc(O)cc3,training,775,6.111 
Oc1ccc(cc1)c2oc3c(\C=C/Br)cc(O)cc3n2,training,4652,5.332 
Oc1ccc(c(F)c1)c2oc3c(\C=C/Br)cc(O)cc3n2,training,196,6.708 
C\C=C/c1cc(O)cc2nc(oc12)c3ccc(O)cc3F,training,539,6.268 
Oc1ccc(c(F)c1)c2oc3c(C=C)cc(O)cc3n2,training,227,6.644 
Oc1cc(C=C)c2oc(nc2c1)c3ccc(O)c(F)c3F,training,474,6.324 
Oc1cc(F)c(c(F)c1)c2oc3c(C=C)cc(O)cc3n2,training,249,6.604 
Oc1cc(C=C)c2oc(nc2c1)c3cc(F)c(O)cc3F,training,4040,5.394 
Cc1cc(O)ccc1c2oc3c(C=C)cc(O)cc3n2,training,1116,5.952 
Oc1ccc(cc1)c2oc3c(cc(O)cc3n2)c4ccccc4,training,1300,5.886 
Oc1ccc(cc1)c2oc3c(cc(O)cc3n2)c4occc4,training,809,6.092 
Oc1cc(c2occc2)c3oc(nc3c1)c4ccc(O)c(F)c4,training,1980,5.703 
Oc1ccc(cc1)c2oc3c(cc(O)cc3n2)c4cccs4,training,1030,5.987 
Oc1ccc(cc1)c2oc3c(cc(O)cc3n2)c4nccs4,training,1340,5.873 
Oc1ccc(cc1)c2oc3c(cc(O)cc3n2)C4CCCC4,training,1010,5.996 
Oc1ccc(cc1F)c2oc3c(C=C)cc(O)c(Br)c3n2,training,1036,5.985 
Oc1ccc(c(O)c1)c2noc3cc(O)ccc23,training,24,7.620 
Oc1ccc(c(O)c1)c2noc3ccccc23,training,6100,5.215 
Oc1ccc2c(noc2c1)c3ccccc3O,training,3000,5.523 
Oc1ccc(cc1)c2noc3cc(O)ccc23,training,815,6.089 
Oc1ccc(c(O)c1)c2noc3ccc(O)cc23,training,4068,5.391 
Oc1ccc(cc1)c2noc3ccc(O)cc23,training,819,6.087 
Oc1ccc2c(noc2c1)c3ccc(O)c(Cl)c3,training,273,6.564 
Oc1ccc(c(c1)C#N)c2noc3cc(O)ccc23,training,264,6.578 
Oc1ccc2c(noc2c1)c3ccc(O)c(Br)c3,training,183,6.738 
Oc1ccc2c(noc2c1)c3ccc(O)c(F)c3,training,161,6.793 
Cc1cc(ccc1O)c2noc3cc(O)ccc23,training,431,6.366 
Cc1cc(O)ccc1c2noc3cc(O)ccc23,training,475,6.323 
CCCc1cc(O)ccc1c2noc3cc(O)ccc23,training,50,7.301 
CCCc1cc(ccc1O)c2noc3cc(O)ccc23,training,210,6.678 
Cc1c(O)ccc(c1O)c2noc3cc(O)ccc23,training,511,6.292 
Oc1ccc(c(CC#N)c1)c2noc3cc(O)ccc23,training,717,6.144 
O\N=C\c1cc(O)ccc1c2noc3cc(O)ccc23,training,2390,5.622 
Oc1ccc2c(noc2c1)c3cc(Br)c(O)cc3O,training,30,7.523 
Oc1ccc2c(noc2c1)c3cc(Cl)c(O)cc3O,training,33,7.481 
Cc1cc(c(O)cc1O)c2noc3cc(O)ccc23,training,65,7.187 
CCCc1cc(c(CC)cc1O)c2noc3cc(O)ccc23,training,13,7.886 
CCCc1cc(c(CCC)cc1O)c2noc3cc(O)ccc23,training,22,7.658 
Oc1ccc2c(noc2c1)c3ccc4cc(O)ccc4c3,training,8,8.097 
Oc1ccc2c(noc2c1)c3ccc4c(O)cccc4c3,training,24,7.620 
Oc1ccc2c(noc2c1)c3ccc4c(Br)c(O)ccc4c3,training,360,6.444 
Oc1ccc2cc(ccc2c1)c3noc4ccc(O)cc34,training,463,6.334 
Oc1ccc2c(noc2c1)c3cccc4cc(O)ccc34,training,49,7.310 
Oc1ccc2c(noc2c1)c3cccc4c(O)cccc34,training,6,8.222 
Oc1ccc2c(noc2c1)c3cccc4ccc(O)cc34,training,1727,5.763 
Oc1ccc2nc(oc2c1)c3cccc4c(O)cccc34,training,117,6.932 
Oc1ccc2nc(oc2c1)c3cccc4cc(O)ccc34,training,35,7.456 
Oc1ccc2nc(oc2c1)c3ccc(O)c4ccccc34,training,1900,5.721 
Oc1ccc2nc(oc2c1)c3cccc4ccccc34,training,1880,5.726 
Oc1ccc2nc(oc2c1)c3cccc4c(Br)c(O)ccc34,training,373,6.428 
Oc1ccc2c(cccc2c1)c3oc4cc(O)c(F)cc4n3,training,434,6.363 
Oc1ccc2c(cccc2c1)c3oc4ccc(O)cc4n3,training,153,6.815 
Cc1cc(O)c2cccc(c3oc4cc(O)ccc4n3)c2c1,training,163,6.788 
Oc1ccc2cc(ccc2c1)c3oc4ccc(O)cc4n3,training,3800,5.420 
Oc1ccc(cc1)C2=C(Br)c3ccc(O)cc3C2=O,training,290,6.538 
CC1=C(C(=O)c2cc(O)ccc12)c3ccc(O)cc3,training,55,7.260 
CSC1=C(C(=O)c2cc(O)ccc12)c3ccc(O)cc3,training,12,7.921 
CCSC1=C(C(=O)c2cc(O)ccc12)c3ccc(O)cc3,training,10,8.000 
Oc1ccc(cc1)C2=C(c3ccccc3)c4ccc(O)cc4C2=O,training,9,8.046 
COc1cc(O)cc2C(=O)C(=C(Br)c12)c3ccc(O)cc3,training,200,6.699 
Oc1ccc(cc1)C2=C(Br)c3c(O)cc(O)cc3C2=O,training,710,6.149 
CSC1=C(C(=O)c2cc(O)cc(O)c12)c3ccc(O)cc3,training,2,8.699 
CCSC1=C(C(=O)c2cc(O)cc(O)c12)c3ccc(O)cc3,training,580,6.237 
Oc1ccc(cc1)C2=C(c3ccccc3)c4c(O)cc(O)cc4C2=O,training,47,7.328 
Oc1ccc(cc1)C2=C(Br)c3cc(O)ccc3C2=O,training,5.2,8.284 
COc1ccc2C(=O)C(=C(Br)c2c1)c3ccc(O)cc3,training,1800,5.745 
CC1=C(C(=O)c2ccc(O)cc12)c3ccc(O)cc3,training,6,8.222 
CSC1=C(C(=O)c2ccc(O)cc12)c3ccc(O)cc3,training,3.1,8.509 
CCSC1=C(C(=O)c2ccc(O)cc12)c3ccc(O)cc3,training,480,6.319 
Oc1ccc(cc1)C2=C(c3ccccc3)c4cc(O)ccc4C2=O,training,10,8.000 
CC1=C(C(=O)c2c(O)cc(O)cc12)c3ccc(O)cc3,training,31,7.509 
Oc1ccc(cc1)C2=C(c3ccccc3)c4cc(O)cc(O)c4C2=O,training,3,8.523 
Oc1ccc2C(=C(C(=O)Oc2c1)c3ccc(Cl)cc3)Cc4ccccc4,training,120,6.921 
Oc1ccc(C(=O)Cc2oc3ccccc3c2)c(O)c1,training,85700,4.067 
O=C(Oc1ccc2C(=CC(=O)Oc2c1)c3ccccc3)c4occc4,training,2320,5.635 
Oc1ccc(c(F)c1)c2ccc3c(Cl)c(O)ccc3c2,training,58,7.237 
Oc1ccc2cc(ccc2c1)c3cc(F)c(O)cc3F,training,27,7.569 
Oc1ccc2cc(ccc2c1Cl)c3cc(F)c(O)cc3F,training,118,6.928 
Oc1ccc2cc(ccc2c1)c3c(F)cc(O)cc3F,training,10.3,7.987 
